tour_code	tour_description	year	tourn_num	 Player #	 Course #	 Permanent Tournament #	 Player First Name	 Player Last Name	 Round	 Tournament Name	Course Name	 Hole	 Hole Score	 Par Value	 Yardage	  Shot	 Shot Type(S/P/D)	# of Strokes	 From Location(Scorer)	 From Location(Laser)	 To Location(Scorer)	 To Location(Laser)	 Distance	 Distance to Pin	 In the Hole Flag	 Around the Green Flag	1st Putt Flag	 Distance to Hole after the Shot	 Time	 Lie	 Elevation	 Slope	 X Coordinate	 Y Coordinate	  Z Coordinate	 Distance from Center	 Distance from Edge
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	1	4	4	424	1	S	1	Tee Box		Primary Rough	Right Rough	10677	15444	N	N		4788	1255	Good	With	Level	"9,093.97"	"9,859.90"	480.316	562	126
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	1	4	4	424	2	S	1	Primary Rough	Right Rough	Green	Unknown	4932	4788	N	N		281	1300	N/A	With	Level	"8,683.75"	"9,868.71"	503.745	232	25
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	1	4	4	424	3	S	1	Green	Unknown	Green	Unknown	326	281	N	N	Y	39	1304	Good	With	Level	"8,697.45"	"9,845.29"	504.02	33	199
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	1	4	4	424	4	S	1	Green	Unknown			39	39	Y	N		0	1305	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	2	2	3	214	1	S	1	Tee Box		Green	Unknown	7727	7812	N	N		231	1307	Good	With	Level	"9,211.50"	"10,024.61"	490.756	214	347
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	2	2	3	214	2	S	1	Green	Unknown			231	231	Y	N	Y	0	1312	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	3	4	4	387	1	S	1	Tee Box		Fairway	Left Fairway	10069	13464	N	N		3440	1315	Good	With	Level	"8,447.83"	"10,051.84"	507.876	127	344
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	3	4	4	387	2	S	1	Fairway	Left Fairway	Green	Unknown	3309	3440	N	N		132	1320	Good	With	Level	"8,172.98"	"10,069.28"	521.344	15	32
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	3	4	4	387	3	S	1	Green	Unknown	Green	Unknown	150	132	N	N	Y	14	1324	Good	With	Level	"8,160.52"	"10,070.62"	521.569	2	140
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	3	4	4	387	4	S	1	Green	Unknown			14	14	Y	N		0	1324	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	4	4	4	440	1	S	1	Tee Box		Primary Rough	Left Rough	10216	15768	N	N		5727	1326	Good	With	Level	"8,174.51"	"9,313.66"	514.103	550	278
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	4	4	4	440	2	S	1	Primary Rough	Left Rough	Green Side Bunker	Right Front Green Side Bunker	5513	5727	N	Y		418	1331	N/A	With	Level	"8,087.05"	"8,862.78"	523.628	329	241
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	4	4	4	440	3	S	1	Green Side Bunker	Right Front Green Side Bunker	Green	Unknown	409	418	N	N		18	1334	Good	With	Level	"8,113.73"	"8,842.05"	528.237	1	138
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	4	4	4	440	4	S	1	Green	Unknown			18	18	Y	N	Y	0	1334	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	5	5	4	520	1	S	1	Tee Box		Tree Outline	Unknown	9468	18576	N	N		9062	1338	Good	With	Level	"8,962.09"	"8,539.50"	506.913	1210	793
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	5	5	4	520	2	S	1	Primary Rough	Unknown	Primary Rough	Right Rough	2394	9062	N	N		6697	1342	N/A	With	Level	"9,160.19"	"8,557.87"	492.604	594	359
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	5	5	4	520	3	S	1	Primary Rough	Right Rough	Fairway	Right Fairway	6148	6697	N	Y		560	1344	N/A	With	Level	"9,670.05"	"8,508.70"	482.259	155	284
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	5	5	4	520	4	S	1	Fairway	Right Fairway	Green	Unknown	565	560	N	N		15	1347	Good	With	Level	"9,716.62"	"8,515.21"	483.545	17	156
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	5	5	4	520	5	S	1	Green	Unknown			15	15	Y	N	Y	0	1348	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	6	3	3	209	1	S	1	Tee Box		Green	Unknown	7743	7740	N	N		136	1355	Good	With	Level	"9,825.00"	"8,826.42"	476.092	138	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	6	3	3	209	2	S	1	Green	Unknown	Green	Unknown	177	136	N	N	Y	40	1400	Good	With	Level	"9,837.07"	"8,834.87"	476.169	38	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	6	3	3	209	3	S	1	Green	Unknown			40	40	Y	N		0	1402	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	7	4	4	434	1	S	1	Tee Box		Fairway	Right Fairway	9971	15804	N	N		5903	1404	Good	With	Level	"8,922.89"	"9,004.64"	497.643	110	200
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	7	4	4	434	2	S	1	Fairway	Right Fairway	Green	Unknown	5846	5903	N	N		238	1408	Good	With	Uphill	"8,459.03"	"8,857.83"	523.046	233	266
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	7	4	4	434	3	S	1	Green	Unknown	Green	Unknown	268	238	N	N	Y	33	1414	Good	With	Level	"8,458.69"	"8,835.54"	523.43	18	205
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	7	4	4	434	4	S	1	Green	Unknown			33	33	Y	N		0	1414	Good	With	Level	0	0	0	0	0
R	PGA TOUR	2011	410	1810	688	60	Phil	Mickelson	1	TOUR Championship by Coca-Cola	East Lake GC	8	4	4	405	1	S	1	Tee Box		Fairway	Left Fairway	10186	14544	N	N		4326	1418	Good	With	Level	"8,403.80"	"9,402.72"	525.815	174	352
