Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App.  50-75 yds(ft);App.  50-75 yds(attempts);App.  75-100 yds(ft);App.  75-100 yds(attempts);App.  100-125 yds(ft);App.  100-125 yds(attempts);App.  50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App.   50-75 yds(ft) - Rough;App.   50-75 yds(attempts) - Rough;App.   75-100 yds(ft) - Rough;App.   75-100 yds(attempts) - Rough;App.   100-125 yds(ft) - Rough;App.   100-125 yds(attempts) - Rough;Approaches   50-125 Yards(ft) - Rough;Approaches   50-125 Yards(attempts) - Rough;Approaches   125-150 Yards(ft) - Rough;Approaches   125-150 Yards(attempts) - Rough;Approaches   150-175 Yards(ft) - Rough;Approaches   150-175 Yards(attempts) - Rough;Approaches   175-200 Yards(ft) - Rough;Approaches   175-200 Yards(attempts) - Rough;Approaches   >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling   20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling   10-20 Yards(successes); Scrambling   10-20 Yards(attempts);Scrambling   < 10 Yards(successes); Scrambling   < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting   3'(attempts);Putting   3'(putts made);Putting   4'(attempts);Putting   4'(putts made);Putting   5'(attempts);Putting   5'(putts made);Putting   6'(attempts);Putting   6'(putts made);Putting   7'(attempts);Putting   7'(putts made);Putting   8'(attempts);Putting   8'(putts made);Putting   9'(attempts);Putting   9'(putts made);Putting   10'(attempts);Putting   10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting   5' - 10' (putts made);Putting   5' - 10' (attempts);Putting   5' - 10' (Rank);Putting   4'-8'(attempts);Putting   4'-8'(putts made);Putting   4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting   10'-15'(attempts);Putting   10'-15'(putts made);Putting   10'-15'(rank);Putting   15-20'(attempts);Putting   15'-20'(putts made);Putting   15'-20'(rank);Putting   20'-25'(attempts);Putting   20'-25'(putts made);Putting   20'-25'(rank);Putting   >25'(attempts);Putting   >25'(putts made);Putting   >25'(rank);Putting   > 10' (putts made);Putting   > 10' (attempts);Putting   > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;
R;2011;410;060;;000;22371;Baddeley, Aaron;30 06 08;TOUR Championship by Coca-Cola;Y ;766.667; 418,666.66;003;  T3;068;010;069;010;064;001;072;003;000;000;000;000;00000000064;00000000273;  00000000004;3;       .832;3;00000000001;1;         20;2;         36;         15;28;;;             15;023;00000000020;00000000044;00000000351;15;00000002425;00000000008;00000000008;00000016686;7;         25;00000000025;  00000000056;00000000024;00000000020;00000000013;00000000012;26.250;003;40.750;002;33.917;004;    100.917;00000000009;78.000;006;204.000;008;225.917;006;753.000;015;       21.583;          1;;;     55.833;          2;     77.417;          3;    479.167;         11;    146.583;          3;    202.083;          2;    314.167;          4;00000000072;  00000000045;00000000024;  2,809.500;00000000072;  25;00000000044;  1,361.833;21;00000000023;  1,219.417;27;00000000011;    548.917;00000000012;    670.500;  00000000006;00000000002;00000000001;00000000015;00000000027;20;    223.417;         23;16;00000000006;00000000011;00000000001;00000000001;00000000003;00000000008;00000000005;00000000008;00000000006;00000000009;00000000001;00000000001;00000000005;00000000008;11;       58.833;00000000008;00000000001;        131;00000000108;00000000072;00000000037;00000000003;00000000034;     69.750;00000004361;00000000004;00000000037;00000000037;00000000008;00000000006;  00000000005;00000000004;00000000007;00000000007;00000000006;00000000006;00000000002;00000000000;00000000001;00000000001;00000000000;00000000000;         50;         47;27;         16;           14;1;00000000020;00000000017;2;00000000066;00000000061;4;00000000013;00000000005;10;00000000009;00000000001;23;00000000008;00000000003;2;00000000012;00000000001;8;         10;         42;2;  6.362;      4;2;
R;2011;410;060;;000;33141;Bradley, Keegan;25 03 18;TOUR Championship by Coca-Cola;Y ;337.500; 210,400.00;011; T11;064;001;071;005;072;011;070;011;000;000;000;000;00000000064;00000000277;  00000000004;11;       .832;11;00000000000;7;         17;3;         42;         12;19;          1;;             13;018;00000000016;00000000054;00000000355;10;00000002330;00000000008;00000000019;00000016670;9;         22;00000000032;  00000000056;00000000010;00000000012;00000000010;00000000008; 6.500;001;13.750;002;132.667;008;    152.917;00000000011;74.333;004;145.833;006;242.167;008;623.000;019;  ;;;;     19.250;          2;     19.250;          2;    208.167;          5;     98.250;          3;    133.667;          3;    411.833;          5;00000000072;  00000000054;00000000007;  2,370.000;00000000072;  5;00000000048;  1,238.250;3;00000000018;    871.167;21;00000000010;    534.250;00000000008;    336.917;  00000000008;00000000000;00000000004;00000000008;00000000018;27;    197.000;         17;25;00000000005;00000000009;00000000000;00000000000;00000000000;00000000003;00000000001;00000000004;00000000006;00000000009;00000000001;00000000002;00000000003;00000000009;28;      112.167;00000000009;00000000001;         24;00000000125;00000000099;00000000021;00000000004;00000000050;    101.417;00000002616;00000000004;00000000050;00000000050;00000000006;00000000006;  00000000007;00000000006;00000000003;00000000001;00000000007;00000000003;00000000001;00000000000;00000000002;00000000001;00000000002;00000000000;         63;         62;3;         15;            5;28;00000000018;00000000010;28;00000000078;00000000067;20;00000000012;00000000003;16;00000000004;00000000000;27;00000000008;00000000000;15;00000000023;00000000001;19;          4;         47;27; 4.487-;      4;27;
R;2011;410;060;;000;24925;Byrd, Jonathan;33 07 29;TOUR Championship by Coca-Cola;Y ;205.000; 128,000.00;030;  30;070;019;074;028;073;029;075;030;000;000;000;000;00000000070;00000000292;  00000000004;30;       .832;30;00000000000;7;          6;30;         50;         14;26;          2;;             16;027;00000000006;00000000039;00000000331;60;00000002343;00000000008;00000000017;00000015730;28;         13;00000000028;  00000000056;00000000016;00000000022;00000000016;00000000010;;000;;000;152.667;005;    152.667;00000000005;330.333;012;106.667;004;382.000;010;623.583;013;       38.833;          1;;;    174.500;          3;    213.333;          4;     44.000;          1;    170.500;          7;    271.917;          5;    635.500;          7;00000000072;  00000000039;00000000029;  3,003.333;00000000072;  30;00000000045;  1,601.500;28;00000000024;  1,335.250;29;00000000015;    778.667;00000000009;    556.583;  00000000004;00000000004;00000000000;00000000020;00000000033;14;    267.333;         29;12;00000000010;00000000014;00000000002;00000000002;00000000002;00000000006;00000000005;00000000007;00000000010;00000000014;00000000003;00000000004;00000000005;00000000011;21;      118.417;00000000011;00000000001;          9;00000000118;00000000075;00000000027;00000000003;00000000044;    103.667;00000003194;00000000004;00000000038;00000000037;00000000011;00000000011;  00000000006;00000000005;00000000011;00000000009;00000000003;00000000000;00000000004;00000000002;00000000001;00000000000;00000000001;00000000001;         55;         53;19;         20;           12;11;00000000024;00000000016;16;00000000075;00000000065;16;00000000011;00000000005;5;00000000006;00000000001;17;00000000006;00000000000;15;00000000019;00000000000;21;          6;         42;17; 1.012-;      4;19;
R;2011;410;060;;000;24357;Choi, K.J.;41 04 06;TOUR Championship by Coca-Cola;Y ;766.667; 418,666.67;003;  T3;068;010;065;002;070;003;070;003;000;000;000;000;00000000065;00000000273;  00000000004;3;       .832;3;00000000000;7;         16;5;         48;          7;2;          1;;              8;002;00000000013;00000000049;00000000315;205;00000002243;00000000008;00000000028;00000015484;30;          5;00000000036;  00000000056;00000000003;00000000015;00000000010;00000000009;;000;13.667;001;122.333;006;    136.000;00000000007;87.250;006;332.667;011;199.667;010;873.917;020;  ;;;;;;;;    169.083;          3;     77.000;          3;    125.750;          3;    470.833;          7;00000000072;  00000000049;00000000012;  2,548.583;00000000072;  21;00000000054;  1,629.500;15;00000000017;    854.500;23;00000000010;    512.167;00000000007;    342.333;  00000000004;00000000004;00000000000;00000000016;00000000023;1;    213.833;         23;13;00000000013;00000000017;00000000000;00000000000;00000000001;00000000003;00000000005;00000000007;00000000007;00000000009;00000000003;00000000004;00000000003;00000000005;12;       40.500;00000000004;00000000003;         21;00000000113;00000000086;00000000026;00000000001;00000000043;     83.917;00000003133;00000000004;00000000046;00000000046;00000000006;00000000006;  00000000005;00000000004;00000000002;00000000001;00000000004;00000000004;00000000002;00000000002;00000000002;00000000001;00000000002;00000000000;         57;         56;8;         12;            8;5;00000000013;00000000011;3;00000000069;00000000064;3;00000000013;00000000002;24;00000000008;00000000001;21;00000000008;00000000001;13;00000000015;00000000001;12;          5;         44;23;  1.133;      4;10;
R;2011;410;060;;000;28089;Day, Jason;23 10 13;TOUR Championship by Coca-Cola;Y ;458.333; 272,000.00;006;  T6;067;005;067;003;069;003;071;006;000;000;000;000;00000000067;00000000274;  00000000004;6;       .832;6;00000000000;7;         15;8;         48;          9;7;;;              9;007;00000000015;00000000049;00000000352;14;00000002444;00000000008;00000000007;00000016733;5;         21;00000000026;  00000000056;00000000022;00000000012;00000000009;00000000018; 8.750;001;26.250;002;17.000;001;     52.000;00000000004;216.833;008;138.750;005;233.083;008;658.917;018;  ;;     27.917;          1;    204.917;          7;    232.833;          8;    302.250;          8;    157.250;          3;    213.167;          3;    478.167;          5;00000000072;  00000000049;00000000012;  2,729.000;00000000072;  22;00000000043;  1,299.583;16;00000000027;  1,383.667;25;00000000009;    380.833;00000000018;  1,002.833;  00000000008;00000000000;00000000001;00000000016;00000000023;1;    207.083;         22;14;00000000007;00000000009;00000000002;00000000002;00000000002;00000000004;00000000005;00000000006;00000000004;00000000008;00000000005;00000000005;00000000009;00000000013;6;      149.833;00000000013;00000000000;;00000000113;00000000086;00000000033;00000000002;00000000039;     99.250;00000004198;00000000004;00000000044;00000000044;00000000008;00000000008;  00000000005;00000000004;00000000001;00000000001;00000000000;00000000000;00000000003;00000000002;00000000001;00000000001;00000000000;00000000000;         57;         56;8;          5;            4;2;00000000009;00000000007;8;00000000062;00000000060;1;00000000014;00000000007;2;00000000010;00000000003;8;00000000008;00000000000;15;00000000019;00000000002;6;         12;         51;4;  5.714;      4;3;
R;2011;410;060;;000;23983;Donald, Luke;33 09 18;TOUR Championship by Coca-Cola;Y ;766.667; 418,666.67;003;  T3;066;002;068;003;070;005;069;003;000;000;000;000;00000000066;00000000273;  00000000004;3;       .832;3;00000000000;7;         15;8;         49;          8;4;;;              8;002;00000000015;00000000047;00000000323;112;00000002299;00000000008;00000000023;00000015865;23;         12;00000000025;  00000000056;00000000024;00000000028;00000000014;00000000012;;000;68.667;003;;000;     68.667;00000000003;225.500;010;192.500;007;189.500;007;765.000;016;  ;;;;     76.750;          2;     76.750;          2;    121.167;          5;    146.583;          3;    444.417;          9;    486.500;          6;00000000072;  00000000047;00000000021;  2,869.667;00000000072;  28;00000000043;  1,441.167;26;00000000025;  1,275.417;24;00000000013;    675.417;00000000012;    600.000;  00000000006;00000000002;00000000000;00000000017;00000000025;3;    138.750;         24;2;00000000006;00000000010;00000000001;00000000001;00000000003;00000000005;00000000006;00000000008;00000000007;00000000010;00000000001;00000000002;00000000010;00000000014;4;       88.083;00000000014;00000000000;;00000000111;00000000079;00000000033;00000000000;00000000039;     67.667;00000003502;00000000004;00000000045;00000000045;00000000006;00000000006;  00000000005;00000000003;00000000003;00000000003;00000000004;00000000003;00000000001;00000000000;00000000008;00000000006;00000000000;00000000000;         56;         54;16;         16;           12;3;00000000013;00000000009;13;00000000072;00000000066;6;00000000007;00000000001;25;00000000011;00000000003;9;00000000005;00000000002;1;00000000016;00000000000;21;          6;         39;15;  4.376;      4;4;
R;2011;410;060;;000;25686;Dufner, Jason;34 06 01;TOUR Championship by Coca-Cola;Y ;292.500; 190,400.00;013; T13;066;002;070;009;073;015;069;013;000;000;000;000;00000000066;00000000278;  00000000004;13;       .832;13;00000000000;7;         13;17;         49;          9;7;          1;;             10;009;00000000013;00000000052;00000000326;92;00000002328;00000000008;00000000020;00000016180;18;         18;00000000033;  00000000056;00000000007;00000000011;00000000008;00000000012;14.917;001;71.333;004;74.333;005;    160.583;00000000010;140.417;005;210.167;008;345.417;010;708.500;018;       21.333;          1;     33.167;          1;     88.583;          2;    143.083;          4;    163.417;          6;    121.000;          4;    203.583;          4;     66.333;          1;00000000072;  00000000052;00000000009;  2,440.417;00000000072;  11;00000000051;  1,565.083;19;00000000019;    697.417;4;00000000007;    273.833;00000000012;    423.583;  00000000003;00000000005;00000000001;00000000013;00000000020;4;    156.000;         19;6;00000000006;00000000009;00000000001;00000000002;00000000001;00000000003;00000000005;00000000006;00000000004;00000000008;00000000003;00000000003;00000000003;00000000004;3;       30.167;00000000004;00000000000;;00000000122;00000000095;00000000025;00000000003;00000000047;    119.333;00000003706;00000000004;00000000041;00000000041;00000000008;00000000008;  00000000005;00000000004;00000000004;00000000003;00000000009;00000000004;00000000002;00000000002;00000000003;00000000000;00000000004;00000000003;         54;         53;11;         22;           12;16;00000000020;00000000013;20;00000000076;00000000065;22;00000000010;00000000004;9;00000000010;00000000001;25;00000000007;00000000002;3;00000000019;00000000000;21;          7;         46;16;   .703;      4;11;
R;2011;410;060;;000;24924;Haas, Bill;29 04 01;TOUR Championship by Coca-Cola;Y ;2500.000;1,440,000.00;001;   1;068;010;067;005;069;005;068;001;000;000;000;000;00000000067;00000000272;  00000000004;1;       .832;1;00000000000;7;         22;1;         37;         12;19;          1;;             13;018;00000000022;00000000050;00000000341;30;00000002399;00000000008;00000000009;00000016731;5;         27;00000000035;  00000000056;00000000005;00000000002;00000000011;00000000006;;000;25.333;003;44.250;003;     69.583;00000000006;290.000;012;307.333;006;211.417;006;64.250;022;        6.250;          1;     88.250;          3;    162.167;          3;    256.667;          7;     14.417;          2;    259.250;          5;    152.250;          2;     53.000;          1;00000000072;  00000000050;00000000011;  2,835.000;00000000072;  26;00000000052;  1,942.583;30;00000000017;    735.583;14;00000000011;    577.583;00000000006;    158.000;  00000000008;00000000000;00000000001;00000000009;00000000022;29;    259.417;         19;30;00000000003;00000000011;00000000002;00000000002;00000000001;00000000005;00000000004;00000000008;00000000003;00000000008;00000000001;00000000001;00000000007;00000000010;5;      124.750;00000000010;00000000000;;00000000115;00000000079;00000000030;00000000001;00000000042;     89.083;00000004363;00000000004;00000000037;00000000037;00000000011;00000000010;  00000000003;00000000003;00000000005;00000000005;00000000005;00000000004;00000000001;00000000001;00000000003;00000000000;00000000002;00000000000;         51;         50;12;         16;           10;9;00000000014;00000000013;1;00000000067;00000000060;11;00000000007;00000000005;1;00000000013;00000000005;3;00000000005;00000000000;15;00000000023;00000000002;7;         12;         48;1;  8.190;      4;1;
R;2011;410;060;;000;21961;Howell III, Charles;32 03 05;TOUR Championship by Coca-Cola;Y ;458.333; 272,000.00;006;  T6;067;005;071;015;068;009;068;006;000;000;000;000;00000000067;00000000274;  00000000004;6;       .832;6;00000000001;1;         12;23;         51;          8;4;;;              8;002;00000000012;00000000056;00000000353;13;00000002449;00000000008;00000000006;00000016684;8;         24;00000000033;  00000000056;00000000007;00000000001;00000000009;00000000010;25.917;001;33.500;002;72.917;005;    132.333;00000000008;139.583;009;155.917;006;369.000;010;632.250;017;  ;;;;     85.750;          3;     85.750;          3;    243.417;          6;    126.417;          4;     54.750;          2;    355.750;          4;00000000072;  00000000056;00000000002;  2,367.917;00000000072;  5;00000000050;  1,429.083;8;00000000019;    866.083;18;00000000010;    527.083;00000000009;    339.000;  00000000008;00000000000;00000000001;00000000010;00000000016;8;    158.833;         13;29;00000000003;00000000007;00000000001;00000000002;00000000001;00000000004;00000000002;00000000003;00000000006;00000000008;00000000001;00000000001;00000000004;00000000007;14;       65.583;00000000006;00000000001;         23;00000000120;00000000102;00000000022;00000000002;00000000048;     90.667;00000003458;00000000004;00000000048;00000000047;00000000009;00000000009;  00000000005;00000000003;00000000000;00000000000;00000000002;00000000001;00000000001;00000000000;00000000002;00000000001;00000000001;00000000000;         62;         59;25;          6;            2;28;00000000008;00000000004;29;00000000068;00000000061;10;00000000010;00000000002;20;00000000012;00000000004;5;00000000011;00000000002;8;00000000019;00000000001;16;          9;         52;12;  .714-;      4;18;
R;2011;410;060;;000;21731;Jacobson, Fredrik;36 11 30;TOUR Championship by Coca-Cola;Y ;267.500; 162,400.00;016; T16;070;019;067;010;068;007;075;016;000;000;000;000;00000000067;00000000280;  00000000004;16;       .832;16;00000000000;7;         13;17;         48;          9;7;          2;;             11;011;00000000011;00000000045;00000000315;205;00000002279;00000000008;00000000025;00000015827;25;          7;00000000031;  00000000056;00000000013;00000000023;00000000005;00000000015;19.417;002;40.833;004;93.417;004;    153.667;00000000010;130.583;008;208.417;005;178.333;008;686.750;015;  ;;;;;;;;     95.667;          4;    263.000;          6;    135.417;          2;    628.333;          7;00000000072;  00000000045;00000000024;  2,707.833;00000000071;  24;00000000046;  1,357.750;12;00000000020;  1,135.417;30;00000000005;    446.500;00000000015;    688.917;  00000000004;00000000004;00000000000;00000000017;00000000027;7;    273.417;         24;22;00000000005;00000000007;00000000003;00000000003;00000000003;00000000005;00000000004;00000000008;00000000006;00000000008;00000000004;00000000004;00000000006;00000000011;17;      101.417;00000000011;00000000001;         25;00000000114;00000000080;00000000027;00000000001;00000000043;     93.250;00000002932;00000000004;00000000042;00000000042;00000000005;00000000005;  00000000010;00000000009;00000000006;00000000005;00000000004;00000000003;00000000002;00000000001;00000000003;00000000002;00000000003;00000000000;         57;         56;8;         18;           11;10;00000000022;00000000018;5;00000000075;00000000067;12;00000000015;00000000002;27;00000000008;00000000001;21;00000000002;00000000000;15;00000000014;00000000000;21;          3;         39;29; 1.779-;      4;21;
