Tour;Tournament Year;Tournament #;Permanent Tournament #;Course #;Team ID;Team Number;Player Number;Player Name;Round Number;Event Name;Course Name;Course Par;Course Yardage;Tee Time;Round Score;End of Round Finish Pos. (numeric);End of Round Finish Pos. (text); End of Event Pos. (numeric);End of Event Pos. (text);In Playoff;Eagles;Eagles(Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Longest Drive;Longest Drives(Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance(Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(# of Drives);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Accuracy Rank;Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App.   50-75 yds(ft);App.   50-75 yds(attempts);App.   75-100 yds(ft);App.   75-100 yds(attempts);App.   100-125 yds(ft);App.   100-125 yds(attempts);Approaches   50-125 Yards(ft);Approaches   50-125 Yards(attempts);Approaches   125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App.   50-75 yds(ft) - Rough;App.   50-75 yds(attempts) - Rough;App.   75-100 yds(ft) - Rough;App.   75-100 yds(attempts) - Rough;App.   100-125 yds(ft) - Rough;App.   100-125 yds(attempts) - Rough;Approaches   50-125 Yards(ft) - Rough;Approaches   50-125 Yards(attempts) - Rough;Approaches   125-150 Yards(ft) - Rough;Approaches   125-150 Yards(attempts) - Rough;Approaches   150-175 Yards(ft) - Rough;Approaches   150-175 Yards(attempts) - Rough;Approaches   175-200 Yards(ft) - Rough;Approaches   175-200 Yards(attempts) - Rough;Approaches   >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling   20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling   10-20 Yards(successes); Scrambling   10-20 Yards(attempts);Scrambling   < 10 Yards(successes); Scrambling   < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Putting   3'(attempts);Putting   3'(putts made);Putting   4'(attempts);Putting   4'(putts made);Putting   5'(attempts);Putting   5'(putts made);Putting   6'(attempts);Putting   6'(putts made);Putting   7'(attempts);Putting   7'(putts made);Putting   8'(attempts);Putting   8'(putts made);Putting   9'(attempts);Putting   9'(putts made);Putting   10'(attempts);Putting   10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting   5' - 10' (putts made);Putting   5' - 10' (attempts);Putting   5' - 10' (Rank);Putting   4'-8'(attempts);Putting   4'-8'(putts made);Putting   4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting   10'-15'(attempts);Putting   10'-15'(putts made);Putting   10'-15'(rank);Putting   15-20'(attempts);Putting   15'-20'(putts made);Putting   15'-20'(rank);Putting   20'-25'(attempts);Putting   20'-25'(putts made);Putting   20'-25'(rank);Putting   >25'(attempts);Putting   >25'(putts made);Putting   >25'(rank);Putting   > 10' (putts made);Putting   > 10' (attempts);Putting   > 10' (rank);Total Putts Gained;
R;2011;410;060;688;  ;000;01810;Mickelson, Phil;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;12:55;068;010; T10;010;  10;;  00000000000;  2;          3;17;         14;          1;3;;;              1;003;00000000330;20;00000000575;00000000002;23;00000004124;00000000014;13;          6;00000000007;  15;00000000003;00000000002;;000;         11.000;001;         19.000;001;         30.000;00000000002;;000;         78.250;003;         10.083;001;        213.750;005;  ;;      6.583;          1;;;      6.583;          1;     23.417;          1;     79.583;          3;     46.667;          1;;;00000000018;  00000000015;2;        506.917;00000000018;  5;00000000011;    332.083;14;00000000006;    156.250;5;00000000003;     52.500;00000000003;    103.750;  00000000002;00000000000;00000000001;00000000002;00000000003;13;      2.500;          2;1;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000002;00000000003;14;           21.750;00000000003;00000000000;00000000000;00000000031;00000000028;00000000006;00000000001;00000000012;     37.167;00000000850;00000000012;00000000012;00000000003;00000000003;  00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         15;         15;1;          1;            1;1;00000000001;00000000001;1;00000000016;00000000016;1;00000000004;00000000000;23;00000000006;00000000002;7;00000000001;00000000000;6;00000000004;00000000000;9;          2;         15;20;  .993-;
R;2011;410;060;688;  ;000;02206;Toms, David;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;12:45;073;028; T28;016; T16;;  00000000000;  2;          2;25;         11;          5;29;;;              5;028;00000000305;110;00000000577;00000000002;22;00000003888;00000000014;30;          2;00000000006;  21;00000000002;00000000005;;000;;000;         20.500;001;         20.500;00000000001;;000;         48.750;001;        102.500;002;        279.833;007;  ;;;;     19.417;          1;     19.417;          1;;;    184.250;          4;     50.833;          1;;;00000000018;  00000000012;16;        722.583;00000000018;  29;00000000011;    451.583;30;00000000006;    254.500;23;00000000002;    120.167;00000000004;    134.333;  00000000001;00000000001;00000000000;00000000002;00000000006;28;     56.250;          6;27;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;00000000001;00000000003;00000000001;00000000002;00000000000;00000000000;00000000003;00000000006;18;           59.250;00000000006;00000000000;00000000000;00000000033;00000000023;00000000004;00000000001;00000000014;     25.750;00000000537;00000000013;00000000013;00000000003;00000000003;  00000000002;00000000001;00000000001;00000000000;00000000000;00000000000;00000000002;00000000000;00000000000;00000000000;00000000000;00000000000;         18;         17;21;          3;  ;27;00000000005;00000000001;27;00000000021;00000000017;23;00000000004;00000000001;19;00000000002;00000000000;16;00000000003;00000000000;6;00000000003;00000000000;9;          1;         12;28; 3.164-;
R;2011;410;060;688;  ;000;06527;Stricker, Steve;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;13:05;068;010; T10;015;  15;;  00000000000;  2;          3;17;         14;          1;3;;;              1;003;00000000337;10;00000000597;00000000002;14;00000004074;00000000014;16;          4;00000000008;  8;00000000004;00000000002;         34.583;002;;000;;000;         34.583;00000000002;         23.417;002;          6.667;001;         75.083;003;        257.917;005;  ;;     30.833;          1;;;     30.833;          1;     35.833;          2;;;    115.417;          2;;;00000000018;  00000000012;16;        579.750;00000000018;  15;00000000013;    397.667;17;00000000005;    182.083;17;00000000004;    142.750;00000000001;     39.333;  00000000001;00000000001;00000000000;00000000005;00000000006;8;     43.833;          6;18;00000000001;00000000002;00000000001;00000000001;00000000000;00000000000;00000000002;00000000002;00000000002;00000000003;00000000001;00000000001;00000000003;00000000003;1;           18.000;00000000003;00000000000;00000000000;00000000027;00000000021;00000000009;00000000000;00000000009;     16.583;00000000702;00000000013;00000000013;00000000001;00000000001;  00000000001;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         15;         15;1;          2;            1;15;00000000003;00000000002;15;00000000017;00000000016;9;00000000004;00000000002;8;00000000001;00000000000;16;00000000002;00000000000;6;00000000003;00000000000;9;          2;         10;11;   .001;
R;2011;410;060;688;  ;000;06567;Singh, Vijay;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;12:05;074;030;  30;016; T16;;  00000000000;  2;          2;25;         12;          2;12;          2;;              4;024;00000000331;17;00000000615;00000000002;6;00000004115;00000000014;14;          5;00000000010;  2;00000000001;00000000003;;000;;000;         21.250;002;         21.250;00000000002;         80.750;004;         31.667;001;        103.333;002;        147.500;003;  ;;      6.417;          1;;;      6.417;          1;     56.000;          2;     55.167;          1;;;     42.583;          1;00000000018;  00000000010;26;        555.667;00000000018;  13;00000000012;    384.500;18;00000000005;    160.167;15;00000000001;     55.167;00000000004;    105.000;  00000000001;00000000001;00000000000;00000000005;00000000008;15;     99.750;          7;30;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000005;00000000006;00000000000;00000000000;00000000004;00000000006;14;           51.833;00000000006;00000000000;00000000000;00000000030;00000000019;00000000008;00000000002;00000000010;     21.667;00000001003;00000000010;00000000010;00000000003;00000000002;  00000000001;00000000000;00000000000;00000000000;00000000002;00000000001;00000000001;00000000001;00000000002;00000000001;00000000001;00000000001;         14;         12;30;          6;            4;14;00000000004;00000000002;20;00000000020;00000000016;24;00000000003;00000000001;14;00000000004;00000000001;10;00000000001;00000000000;6;00000000002;00000000000;9;          2;         10;11;  .685-;
R;2011;410;060;688;  ;000;20645;Senden, John;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;13:15;073;028; T28;025;  25;;  00000000000;  2;          2;25;         13;          2;12;;          1;              3;016;00000000318;41;00000000591;00000000002;16;00000004161;00000000014;9;          6;00000000004;  26;00000000007;00000000002;;000;;000;;000;;00000000000;         23.250;001;         31.167;001;         45.083;002;        165.500;004;       48.083;          1;     20.750;          1;;;     68.833;          2;     89.250;          2;     33.833;          1;    103.083;          2;    176.250;          2;00000000018;  00000000013;8;        753.500;00000000018;  30;00000000008;    265.000;22;00000000009;    471.250;27;00000000007;    396.667;00000000002;     74.583;  00000000002;00000000000;00000000000;00000000002;00000000005;24;     36.417;          4;26;00000000001;00000000004;00000000001;00000000001;00000000000;00000000001;00000000001;00000000001;00000000000;00000000001;00000000001;00000000002;00000000000;00000000002;26;           21.833;00000000002;00000000000;00000000000;00000000032;00000000024;00000000004;00000000000;00000000014;     30.083;00000000772;00000000011;00000000011;00000000002;00000000002;  00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;00000000002;00000000001;         13;         13;1;          5;            4;7;00000000003;00000000003;1;00000000018;00000000017;5;00000000003;00000000000;23;00000000003;00000000001;7;00000000001;00000000000;6;00000000007;00000000000;9;          1;         14;30;   .339;
R;2011;410;060;688;  ;000;21731;Jacobson, Fredrik;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;11:35;070;019; T19;016; T16;;  00000000000;  2;          5;3;          9;          3;18;          1;;              4;024;00000000315;56;00000000591;00000000002;16;00000004035;00000000014;22;          3;00000000007;  15;00000000000;00000000006;         15.333;001;         17.000;002;;000;         32.333;00000000003;         37.333;002;;000;         14.917;001;         78.917;002;  ;;;;;;;;     38.750;          2;     61.417;          1;    135.417;          2;     45.583;          1;00000000018;  00000000011;20;        475.917;00000000017;  3;00000000008;    163.500;2;00000000007;    294.167;21;00000000000;;00000000007;    294.167;  00000000000;00000000002;00000000000;00000000004;00000000007;19;     26.917;          5;6;00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;00000000002;00000000003;00000000002;00000000002;00000000000;00000000000;00000000001;00000000002;18;           18.500;00000000002;00000000000;00000000000;00000000028;00000000019;00000000007;00000000001;00000000010;     19.583;00000000693;00000000010;00000000010;00000000001;00000000001;  00000000004;00000000003;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         15;         14;25;          2;            2;1;00000000006;00000000005;8;00000000017;00000000016;9;00000000006;00000000001;21;00000000002;00000000000;16;00000000001;00000000000;6;00000000002;00000000000;9;          1;         11;26;  .886-;
R;2011;410;060;688;  ;000;21878;Wilson, Mark;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;12:45;072;024; T24;026; T26;;  00000000000;  2;          4;9;          8;          6;30;;;              6;030;00000000318;41;00000000588;00000000002;19;00000004049;00000000014;20;          4;00000000008;  8;00000000001;00000000002;;000;         17.167;002;         24.083;001;         41.250;00000000003;;000;         11.833;001;        113.083;003;        210.583;005;  ;;;;     23.750;          1;     23.750;          1;     38.833;          1;     26.250;          1;;;;;00000000018;  00000000014;4;        621.250;00000000018;  17;00000000013;    396.667;16;00000000003;     88.833;8;00000000001;     23.750;00000000002;     65.083;  00000000001;00000000001;00000000000;00000000000;00000000004;30;     19.167;          3;15;00000000000;00000000003;00000000000;00000000000;00000000000;00000000001;00000000000;00000000002;00000000000;00000000001;00000000000;00000000000;00000000001;00000000001;1;            4.000;00000000001;00000000000;00000000000;00000000034;00000000026;00000000004;00000000002;00000000014;     37.417;00000000991;00000000013;00000000012;00000000003;00000000002;  00000000001;00000000001;00000000001;00000000001;00000000002;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;         17;         15;28;          3;            1;23;00000000004;00000000002;20;00000000020;00000000016;24;00000000003;00000000001;14;00000000002;00000000000;16;00000000002;00000000000;6;00000000007;00000000001;8;          2;         14;18; 2.846-;
R;2011;410;060;688;  ;000;21961;Howell III, Charles;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;11:55;067;005;  T5;006;  T6;;  00000000000;  2;          3;17;         15;;1;;;;001;00000000332;16;00000000621;00000000002;4;00000004211;00000000014;7;          7;00000000008;  8;00000000004;00000000001;;000;         21.750;001;         31.667;002;         53.417;00000000003;         37.000;002;;000;        166.417;004;        162.500;004;  ;;;;;;;;    103.750;          3;;;;;    122.167;          1;00000000018;  00000000012;16;        663.833;00000000018;  21;00000000013;    419.333;19;00000000004;    225.917;28;00000000004;    225.917;00000000000;;  00000000002;00000000000;00000000000;00000000006;00000000006;1;     19.750;          5;3;00000000002;00000000002;00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000004;00000000004;00000000000;00000000000;00000000001;00000000001;1;           11.167;00000000001;00000000001;00000000840;00000000027;00000000022;00000000007;00000000000;00000000010;     23.917;00000000990;00000000011;00000000011;00000000001;00000000001;  00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;         13;         13;1;          1;            1;1;00000000001;00000000001;1;00000000014;00000000014;1;00000000001;00000000001;1;00000000004;00000000001;10;00000000006;00000000001;5;00000000002;00000000000;9;          3;         13;9;  1.141;
R;2011;410;060;688;  ;000;22046;Ogilvy, Geoff;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;12:05;069;016; T16;011; T11;;  00000000000;  2;          4;9;         11;          3;18;;;              3;016;00000000315;56;00000000591;00000000002;16;00000003992;00000000014;26;          2;00000000007;  15;00000000004;00000000003;;000;          7.333;001;         60.833;002;         68.167;00000000003;         16.833;001;;000;         94.750;002;        153.333;004;  ;;;;;;;;     76.000;          3;     60.833;          2;     46.583;          2;;;00000000018;  00000000011;20;        529.750;00000000018;  6;00000000010;    333.083;23;00000000007;    183.417;6;00000000004;    123.833;00000000003;     59.583;  00000000001;00000000001;00000000001;00000000004;00000000007;19;     51.000;          6;23;00000000003;00000000003;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;00000000004;00000000002;00000000002;00000000001;00000000003;23;           42.167;00000000003;00000000000;00000000000;00000000028;00000000019;00000000008;00000000000;00000000010;     26.333;00000001229;00000000008;00000000008;00000000003;00000000003;  00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;         12;         12;1;          3;            3;1;00000000004;00000000004;1;00000000015;00000000015;1;00000000002;00000000002;1;00000000003;00000000000;16;00000000003;00000000000;6;00000000005;00000000001;5;          3;         13;9;  2.328;
R;2011;410;060;688;  ;000;22371;Baddeley, Aaron;01;TOUR Championship by Coca-Cola;East Lake GC;70;07319;11:45;068;010; T10;003;  T3;;  00000000000;  2;          4;9;         12;          2;12;;;              2;010;00000000325;29;00000000607;00000000002;8;00000004145;00000000014;11;          6;00000000009;  5;00000000001;00000000002;         22.167;002;;000;;000;         22.167;00000000002;         38.167;002;         74.500;002;        100.417;003;        312.500;005;  ;;;;;;;;     23.750;          1;     38.167;          1;;;;;00000000018;  00000000010;26;        689.250;00000000018;  25;00000000014;    547.750;28;00000000002;     61.917;10;00000000000;;00000000002;     61.917;  00000000002;00000000000;00000000000;00000000007;00000000008;5;     40.000;          7;10;00000000003;00000000004;00000000001;00000000001;00000000001;00000000001;00000000002;00000000002;00000000004;00000000005;00000000000;00000000000;00000000001;00000000001;1;            3.750;00000000001;00000000000;00000000000;00000000026;00000000017;00000000011;00000000001;00000000007;     17.333;00000000860;00000000008;00000000008;00000000004;00000000004;  00000000001;00000000001;00000000002;00000000002;00000000001;00000000001;00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;         13;         13;1;          5;            4;7;00000000005;00000000004;9;00000000018;00000000017;5;00000000002;00000000000;23;00000000001;00000000001;1;00000000001;00000000000;6;00000000004;00000000000;9;          1;          8;21;  1.215;
