distance_to_pin,lie,strokes_to_hole_out
429.0,Tee Box,4
133.0,Primary Rough,3
7.805555555555555,Green,2
1.0833333333333333,Green,1
217.0,Tee Box,2
6.416666666666667,Green,1
374.0,Tee Box,4
95.55555555555556,Fairway,3
3.6666666666666665,Green,2
0.3888888888888889,Green,1
438.0,Tee Box,4
159.08333333333334,Primary Rough,3
11.61111111111111,Green Side Bunker,2
0.5,Green,1
516.0,Tee Box,5
251.72222222222223,Primary Rough,4
186.02777777777777,Primary Rough,3
15.555555555555555,Fairway,2
0.4166666666666667,Green,1
215.0,Tee Box,3
3.7777777777777777,Green,2
1.1111111111111112,Green,1
439.0,Tee Box,4
163.97222222222223,Fairway,3
6.611111111111111,Green,2
0.9166666666666666,Green,1
404.0,Tee Box,4
120.16666666666667,Fairway,3
6.333333333333333,Green,2
0.08333333333333333,Green,1
588.0,Tee Box,5
271.55555555555554,Fairway,4
29.416666666666668,Green Side Bunker,3
6.416666666666667,Green,2
0.1111111111111111,Green,1
459.0,Tee Box,4
161.47222222222223,Fairway,3
10.777777777777779,Green,2
0.5555555555555556,Green,1
179.0,Tee Box,3
3.361111111111111,Green,2
0.6111111111111112,Green,1
401.0,Tee Box,3
80.52777777777777,Primary Rough,2
2.1944444444444446,Green,1
468.0,Tee Box,4
167.22222222222223,Fairway,3
8.694444444444445,Green,2
0.25,Green,1
452.0,Tee Box,3
144.66666666666666,Other,2
6.194444444444445,Green,1
529.0,Tee Box,5
257.8611111111111,Fairway,4
16.61111111111111,Green,3
6.083333333333333,Green,2
1.25,Green,1
477.0,Tee Box,4
174.58333333333334,Primary Rough,3
3.6944444444444446,Green,2
0.4722222222222222,Green,1
459.0,Tee Box,4
160.86111111111111,Primary Rough,3
11.222222222222221,Green,2
0.7222222222222222,Green,1
222.0,Tee Box,3
15.027777777777779,Green Side Bunker,2
0.3333333333333333,Green,1
429.0,Tee Box,4
153.11111111111111,Fairway,3
16.25,Green,2
0.05555555555555555,Green,1
217.0,Tee Box,3
8.027777777777779,Green,2
0.9166666666666666,Green,1
374.0,Tee Box,4
116.72222222222223,Fairway,3
6.833333333333333,Green,2
0.8611111111111112,Green,1
438.0,Tee Box,5
153.58333333333334,Primary Rough,4
20.333333333333332,Green Side Bunker,3
2.5277777777777777,Green,2
0.8888888888888888,Green,1
516.0,Tee Box,4
210.94444444444446,Fairway,3
4.555555555555555,Green,2
0.16666666666666666,Green,1
215.0,Tee Box,4
18.694444444444443,Green Side Bunker,3
3.611111111111111,Green,2
0.1111111111111111,Green,1
439.0,Tee Box,4
161.25,Primary Rough,3
4.361111111111111,Green,2
0.3888888888888889,Green,1
404.0,Tee Box,4
119.63888888888889,Fairway Bunker,3
5.5,Green,2
1.1111111111111112,Green,1
588.0,Tee Box,5
324.97222222222223,Primary Rough,4
244.13888888888889,Fairway,3
20.52777777777778,Green Side Bunker,2
1.3888888888888888,Green,1
459.0,Tee Box,4
195.88888888888889,Fairway,3
10.36111111111111,Green Side Bunker,2
1.3333333333333333,Green,1
179.0,Tee Box,4
23.805555555555557,Green Side Bunker,3
7.277777777777778,Green,2
0.8888888888888888,Green,1
401.0,Tee Box,4
109.52777777777777,Primary Rough,3
6.472222222222222,Green,2
